Generation, Total Population, Prey Population, Predator Population
1, 1, 1, 0
2, 2, 2, 0
3, 4, 4, 0
4, 6, 6, 0
5, 6, 6, 0
6, 9, 9, 0
7, 10, 10, 0
8, 9, 9, 0
9, 13, 13, 0
10, 13, 13, 0
11, 17, 17, 0
12, 19, 19, 0
13, 19, 19, 0
14, 20, 20, 0
15, 18, 18, 0
16, 23, 23, 0
17, 21, 21, 0
18, 17, 17, 0
19, 17, 17, 0
20, 20, 20, 0
21, 19, 19, 0
22, 18, 18, 0
23, 20, 20, 0
24, 21, 21, 0
25, 20, 19, 1
26, 23, 22, 1
27, 24, 23, 1
28, 31, 30, 1
29, 29, 27, 2
30, 27, 24, 3
31, 23, 17, 6
32, 23, 14, 9
33, 22, 13, 9
34, 16, 8, 8
35, 11, 8, 3
36, 8, 7, 1
37, 11, 11, 0
38, 14, 14, 0
39, 14, 14, 0
40, 16, 16, 0
41, 18, 18, 0
42, 19, 19, 0
43, 17, 17, 0
44, 16, 16, 0
45, 20, 20, 0
46, 14, 14, 0
47, 14, 14, 0
48, 13, 13, 0
49, 16, 16, 0
50, 18, 18, 0
51, 19, 19, 0
52, 26, 26, 0
53, 24, 24, 0
54, 28, 28, 0
55, 34, 34, 0
56, 31, 30, 1
57, 25, 23, 2
58, 28, 25, 3
59, 25, 21, 4
60, 22, 18, 4
61, 24, 17, 7
62, 27, 20, 7
63, 21, 13, 8
64, 19, 13, 6
65, 15, 11, 4
66, 13, 10, 3
67, 10, 8, 2
68, 6, 3, 3
69, 2, 2, 0
70, 2, 2, 0
71, 2, 2, 0
72, 2, 2, 0
73, 2, 2, 0
74, 1, 1, 0
75, 0, 0, 0
Final score, 0
